Date,news_lm,"('news_lm', 'count')"
2020-12-18,High likelihood of Nifty IT under performance over 2021: ICICI Securities,1
2020-12-20,TCS share buyback offer is open. Should you tender shares?,1
2020-12-21,"Fitch assigns TCS first-time 'A-' IDR, outlook negative",1
2020-12-24,"TCS share hits fresh record high, rise 8% in December",1
2020-12-28,"TCS share hits an all time high, 35% up in 2020,TCS crosses ₹11 trln in market capitalisation",2
2021-01-05,TCS gets a lift past its buyback price on better earnings expectations,1
2021-01-06,Revenue momentum of IT cos may sustain in Q3,1
2021-01-08,"Tech Mahindra market cap goes past ₹1 lakh crore mark,Stocks to Watch: TCS, Biocon, Tata Power, Union Bank, DHFL, HCL Tech",2
2021-01-09,"ICICI Securities positive on TCS stock amid above estimate Q3 results,Digital boom helps TCS beat estimates",2
2021-01-10,Seven of top 10 most valued firms add over ₹1.37 lakh cr in market valuation,1
2021-01-12,"TCS to acquire GE's stake in TCS Saudi Arabia,Tata Consultancy Services to buy GE's stake In TCS Saudi Arabia",2
2021-01-13,"Infosys in a sweet spot as it races past TCS on profit growth in FY21,Wipro’s Q3 print shows revival, but valuations may not be sustainable",2
2021-01-17,Six of top-10 most valued firms add over ₹1.13 lakh crore in cumulative m-cap,1
2021-01-18,Three UK partners with TCS to accelerate 5G network rollout,1
2021-01-24,Mcap of 4 of top-10 valued firms jumps over ₹1.15 lakh cr; RIL biggest gainer,1
2021-01-25,"TCS beats Accenture to become world's most-valued IT company,TCS pips Reliance Industries to become India's most valued firm",2
2021-02-16,Adani Transmission among 50 most valuable publicly traded firms in India,1
2021-02-21,Market cap of 8 of top 10 most-valued firms tumbles Rs1.23 lakh crore this week,1
2021-03-19,"TCS announces salary hike for employees, second in six months",1
2021-03-24,TCS launches new solution for media and communication service providers,1
2021-03-26,"Shares of Tata group companies cheer apex court’s order,Tata group stocks jump as SC rejects Shapoorji Pallonji group's pleas",2
2021-03-28,Seven of top 10 companies lose over Rs1 lakh cr in m-cap,1
2021-04-05,Infosys hits ₹6 trillion in market capitalisation,1
2021-04-12,"TCS Q4 results: Net profit rises 15% to ₹9,246 cr; revenue at ₹43,705 cr,Stocks to Watch: TCS, Infosys, Tata Motors, pharma companies, NBFCs",2
2021-04-13,"TCS falls 3% on expensive valuations,TCS posts 15% jump in Q4 profit",2
2021-04-16,"Wipro lags on growth, but deal wins keep hopes alive",1
2021-04-19,The mixed fortunes of our IT services sector,1
2021-04-30,TCS appoints Samir Seksaria as CFO effective 1 May,1
2021-05-02,M-cap of seven of top-10 most-valued companies jumps over ₹1.62 lakh crore,1
2021-05-19,TCS CEO Rajesh Gopinathan draws ₹20.36 crore pay package in FY21,1
2021-05-21,TCS setting up over 100 COVID vaccination centres across India,1
2021-05-27,TCS acquires GE's stake in TCS Saudi Arabia,1
