,Date,open_price,high_price,low_price,close_price,volume,news_lm,news_lm_count,News_bs,news_bs_count,news_mc1,news_mc_count,Sentiment on Date,Subjectivity on Day,Sentiment Value,Subjectivity value,News Sentiment on Date,News Subjectivity on Day,News Sentiment Value,News Subjectivity value,total_tweets,retweets_sum,tweets_favourites_sum,News,total_news
215,2020-07-20,2201,2226.9,2190.8,2207.9,2952646,IT may see surge in offshoring biz,1.0,0,0.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,IT may see surge in offshoring biz,1.0
216,2020-07-17,2237,2243.9,2190.05,2200.75,4509135,0,0.0,"Tata Sons Plans To Infuse More Funds Into Covid-Hit Group Entities,US Work Visa Suspension 'Unfortunate'; To Have 'Minimal Impact' On Ops: HCL",2.0,0,0.0,0,0,0.0,0.0, Highly Negative,Slightly Subjective,-0.3,0.8,0.0,0.0,0.0,"Tata Sons Plans To Infuse More Funds Into Covid-Hit Group Entities,US Work Visa Suspension 'Unfortunate'; To Have 'Minimal Impact' On Ops: HCL",2.0
217,2020-07-16,2244,2333,2220.1,2234.75,8582118,Infosys outperforms TCS; guidance shows damage from covid is minimal,1.0,"Infosys, Wipro, TCS: Charts Suggest More Upside Potential For IT Stocks",1.0,0,0.0,0,0,0.0,0.0,Negative,Slightly Subjective,-0.05,0.8,0.0,0.0,0.0,"Infosys, Wipro, TCS: Charts Suggest More Upside Potential For IT Stocks,Infosys outperforms TCS; guidance shows damage from covid is minimal",2.0
218,2020-07-15,2185,2260,2181.1,2233.9,5569321,"Wipro stock finds favour after positive Q1 earnings, new CEO’s comments",1.0,"L&T Infotech'S PBT Rises 16.9% To Rs 558.9 Cr In Q1, Revenue Up 18.7%,Infosys Beats Street Estimates; PBT Rises 12% To Rs 5,792 Crore In Q1",2.0,"TCS Consolidated June 2020 Net Sales at Rs 38,322.00 crore, up 0.39% Y-o-Y,TCS Standalone June 2020 Net Sales at Rs 31,624.00 crore, down 3.16% Y-o-Y",2.0,0,0,0.0,0.0,Neutral,Highly Subjective,0.090909091,0.25,0.0,0.0,0.0,"L&T Infotech'S PBT Rises 16.9% To Rs 558.9 Cr In Q1, Revenue Up 18.7%,Infosys Beats Street Estimates; PBT Rises 12% To Rs 5,792 Crore In Q1,Wipro stock finds favour after positive Q1 earnings, new CEO’s comments,TCS Consolidated June 2020 Net Sales at Rs 38,322.00 crore, up 0.39% Y-o-Y,TCS Standalone June 2020 Net Sales at Rs 31,624.00 crore, down 3.16% Y-o-Y",5.0
219,2020-07-14,2210,2239,2165,2171.95,2976738,0,0.0,"For AirAsia'S Tony Fernandes, Business In India Makes Little Sense Now",1.0,0,0.0,0,0,0.0,0.0,Negative,Slightly Subjective,-0.1875,0.5,0.0,0.0,0.0,"For AirAsia'S Tony Fernandes, Business In India Makes Little Sense Now",1.0
220,2020-07-13,2220,2244.95,2210,2220,2963503,0,0.0,"25/25 Staff Model Will Become A Reality Quicker Than Expected, Says TCS CEO",1.0,0,0.0,0,0,0.0,0.0,Negative,Slightly Subjective,-0.1,0.4,0.0,0.0,0.0,"25/25 Staff Model Will Become A Reality Quicker Than Expected, Says TCS CEO",1.0
221,2020-07-10,2205.25,2249.85,2176,2222.35,9610320,"TCS criticizes H-1B visa ban, curbs on foreign students,TCS profit drops 14% in Jun quarter, sees Europe leading recovery",2.0,"Tata Consultancy Services Lifts Curb On Lateral Hiring Amid Covid-19 Crisis,MARKET WRAP: Sensex Slips 143 Pts Amid Weak Global Cues; Financials Decline,After Dismal June Quarter Numbers, TCS Gives High Hopes To Investors,Covid-19 Weighs On TCS Numbers In Q1; Net Profit Falls 13.8% To Rs 7,008 Cr",4.0,"TCS Consolidated June 2020 Net Sales at Rs 38,322.00 crore, up 0.39% Y-o-Y,TCS a must-own stock in the new normal, but rally tempers near-term excitement",2.0,0,0,0.0,0.0,Negative,Highly Subjective,-0.006704545,0.299318182,0.0,0.0,0.0,"Tata Consultancy Services Lifts Curb On Lateral Hiring Amid Covid-19 Crisis,MARKET WRAP: Sensex Slips 143 Pts Amid Weak Global Cues; Financials Decline,After Dismal June Quarter Numbers, TCS Gives High Hopes To Investors,Covid-19 Weighs On TCS Numbers In Q1; Net Profit Falls 13.8% To Rs 7,008 Cr,TCS criticizes H-1B visa ban, curbs on foreign students,TCS profit drops 14% in Jun quarter, sees Europe leading recovery,TCS Consolidated June 2020 Net Sales at Rs 38,322.00 crore, up 0.39% Y-o-Y,TCS a must-own stock in the new normal, but rally tempers near-term excitement",8.0
222,2020-07-09,2229,2244.5,2191.05,2204.35,3443998,"Covid impact on TCS greater than Accenture, but stock defies reality,TCS in recovery mode even as net profit down 13% QoQ,Ahead of TCS result, ISG warns of sharp slowdown in financial services deals,TCS Q1 earnings: Here's what to expect from IT major",4.0,Deportation Of Foreign Students Will Restrict Tech Development In US: TCS,1.0,"TCS Q1 profit falls 13% QoQ to Rs 7,008 crore, but deal wins remain robust,TCS Q1 Preview: Look out for trends in verticals, pricing pressure, deal pipeline",2.0,0,0,0.0,0.0,Neutral,Highly Subjective,0.091666667,0.2625,0.0,0.0,0.0,"Deportation Of Foreign Students Will Restrict Tech Development In US: TCS,Covid impact on TCS greater than Accenture, but stock defies reality,TCS in recovery mode even as net profit down 13% QoQ,Ahead of TCS result, ISG warns of sharp slowdown in financial services deals,TCS Q1 earnings: Here's what to expect from IT major,TCS Q1 profit falls 13% QoQ to Rs 7,008 crore, but deal wins remain robust,TCS Q1 Preview: Look out for trends in verticals, pricing pressure, deal pipeline",7.0
223,2020-07-08,2270,2274.4,2207.6,2218.9,2793358,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
224,2020-07-07,2275,2302.7,2232.15,2269.9,5630055,0,0.0,"Capgemini Bucks Trend, Rolls Out Wage Hikes, Promotions Amid Covid Crisis,MARKET WRAP: Indices Rally For 5th Straight Day, Sensex Ends 187 Pts Higher",2.0,TCS expands decade-long partnership with Tryg,1.0,0,0,0.0,0.0, Slightly Positive,Slightly Subjective,0.2,0.4,0.0,0.0,0.0,"Capgemini Bucks Trend, Rolls Out Wage Hikes, Promotions Amid Covid Crisis,MARKET WRAP: Indices Rally For 5th Straight Day, Sensex Ends 187 Pts Higher,TCS expands decade-long partnership with Tryg",3.0
